post_link,title,date_posted,posted_by,description,image_url,is_event,event_type,event_date,event_time,event_location,is_food,food_type
['https://edstem.org/us/courses/40590/discussion/5260655\n'],['University of Notre Dame: LEO Job Opportunity #1062'],['11-Sep-2024 23:03:09.513000Z'],['Economics Staff'],"['The Lab for Economic Opportunities (LEO), an anti-poverty research lab at the University of Notre Dame, is now hiring multiple pre-docs with start dates in summer 2025 and would like to share this opportunity with you and your department.\nLEO pre-docs work on portfolios of 5-6 research projects in collaboration with both faculty researchers and leading social service organizations. This role offers a unique chance to engage in cutting-edge, policy-driven research within a dynamic and supportive environment.\nWe kindly ask that you consider sharing this opportunity with your relevant networks. The deadline to apply is Sunday, September 22nd at 11:59pm EST.\nIf you have any questions about our lab or the positions, please feel free to reach out to us at leo@nd.edu.']",[None],FALSE,None,22-Sep-2024,11:59 PM,University of Notre Dame,FALSE,None
['https://edstem.org/us/courses/40590/discussion/5254044\n'],['Full-Time Research Assistant Job Posting #1058'],['10-Sep-2024 23:02:50.196000Z'],['Economics Staff'],"['Professors Chen Lian, Na’ama Shenhav, and Dmitry Taubinsky of UC Berkeley, and Luigi Butera of Copenhagen Business School, are hiring a full-time research assistant for the coming academic year (2025-2026), with an option to renew for a second year. \nThe research assistant will work with us on questions in Behavioral, Labor, Public, and Macro Economics. Examples of current research projects include the analysis of administrative data linked to surveys and experiments to investigate: how memory, attention, and selective processing of data affects people’s expectations about their future financial well-being; how stress influences labor supply and healthcare decisions; and how financial shocks influences people’s general outlook on public policy and the economy. \nWe hope that this will be a great opportunity to acquire more skills in data analysis, experimental design, theory testing, and quantitative methods. There will be opportunities for co-authored work, and we will help prepare the researcher for applying to graduate programs in economics and related disciplines. Please click here for further information about the application process.']",[None],FALSE,None,10-Sep-2024,11:02 PM,None,FALSE,None
['https://edstem.org/us/courses/40590/discussion/5247593\n'],['Hiring Research Assistants at the Chicago Fed #1054'],['09-Sep-2024 23:00:00.920000Z'],['Economics Staff'],"['Greetings from the Chicago Fed! \n The Federal Reserve Bank of Chicago’s Research Assistant position application is NOW OPEN for those looking to start in the Summer of 2025.\nApply for the position HERE.\n The position is structured as part of a two-year program for recent graduates with a background in economics, mathematics, statistics, finance, computer science, or related fields. Research Assistants work with a range of economists while utilizing their quantitative and analytical skills to contribute to time-critical analysis of current economic data as well as assist in conducting long-term academic research on a wide range of topics. This is a great opportunity to work with and develop the skills necessary to pursue graduate studies in economics and related fields! \n The Federal Reserve Bank of Chicago is committed to attracting, developing, and retaining a diverse workforce. We recognize the benefit derived from different perspectives and experiences, and we look carefully at candidates’ records to identify individuals whose perspectives could benefit our work. As such, we especially encourage submissions from groups traditionally less represented in economics and related fields. \n For more information on the position: What’s a Chicago Fed Research Assistant?\nFor more opportunities in the Federal Reserve System please visit: fedeconjobs.org\nIf you have any questions, don’t hesitate to reach out to us at RA.Recruiting@chi.frb.org']",['https://static.us.edusercontent.com/files/DhduhHJOGMowWn6ckxUfSBom'],FALSE,None,09-Sep-2024,11:00 PM,Chicago Fed,Likely,None
['https://edstem.org/us/courses/40590/discussion/5226852\n'],"['Recruiting for Deloitte transfer-pricing jobs in Washington, DC area #1039']",['05-Sep-2024 23:00:00.502000Z'],['Economics Staff'],"['What is Transfer Pricing?\nTransfer Pricing is the analysis of cross-border transactions (e.g., tangible goods sales, IP licensing, and services) between related parties inside a multinational group. We assist our clients in structuring their operations to be tax-efficient and legally compliant. We employ a variety of methods, including benchmarking analyses and valuation estimates, in order to estimate market prices for transactions not typically observed in competitive markets. Our work is challenging and multidisciplinary, and has also served as a strong foundation for careers in finance, law, and academia.\n Who should apply?\nStudents with backgrounds in economics, finance, math/statistics, and business tend to fit well in our team. We seek well-rounded candidates with strong leadership abilities and quantitative/technical skills.\n To apply, please choose the appropriate link (Intern | Full-Time), specifying McLean, VA as your preferred location. For priority consideration, students should apply by Sunday, September 9, 23:59 EST.']","['data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0idXRmLTgiPz4NCjwhLS0gR2VuZXJhdG9yOiBBZG9iZSBJbGx1c3RyYXRvciAxNi4wLjQsIFNWRyBFeHBvcnQgUGx1Zy1JbiAuIFNWRyBWZXJzaW9uOiA2LjAwIEJ1aWxkIDApICAtLT4NCjwhRE9DVFlQRSBzdmcgUFVCTElDICItLy9XM0MvL0RURCBTVkcgMS4xLy9FTiIgImh0dHA6Ly93d3cudzMub3JnL0dyYXBoaWNzL1NWRy8xLjEvRFREL3N2ZzExLmR0ZCI+DQo8c3ZnIHZlcnNpb249IjEuMSIgaWQ9IkxheWVyXzEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4Ig0KCSB3aWR0aD0iMjRweCIgaGVpZ2h0PSIyMHB4IiB2aWV3Qm94PSIwIDAgMjQgMjAiIGVuYWJsZS1iYWNrZ3JvdW5kPSJuZXcgMCAwIDI0IDIwIiB4bWw6c3BhY2U9InByZXNlcnZlIj4NCjxnPg0KCTxwYXRoIGZpbGw9Im5vbmUiIHN0cm9rZT0iIzAwMDAwMCIgc3Ryb2tlLW1pdGVybGltaXQ9IjEwIiBkPSJNMjIuOTYzLDE3Ljc3NWMwLDAuNTI2LTAuNDI3LDAuOTUzLTAuOTUzLDAuOTUzSDEuOTE2DQoJCWMtMC41MjYsMC0wLjk1My0wLjQyNy0wLjk1My0wLjk1M1YxLjY4MmMwLTAuNTI2LDAuNDI3LTAuOTUzLDAuOTUzLTAuOTUzSDIyLjAxYzAuNTI2LDAsMC45NTMsMC40MjcsMC45NTMsMC45NTNWMTcuNzc1eiIgdmVjdG9yLWVmZmVjdD0ibm9uLXNjYWxpbmctc3Ryb2tlIi8+Cgk8Zz4NCgkJPGxpbmUgZmlsbD0ibm9uZSIgc3Ryb2tlPSIjMDAwMDAwIiBzdHJva2UtbWl0ZXJsaW1pdD0iMTAiIHgxPSI5LjIxOCIgeTE9IjcuMTU4IiB4Mj0iMTQuNTI3IiB5Mj0iMTIuNDY3IiB2ZWN0b3ItZWZmZWN0PSJub24tc2NhbGluZy1zdHJva2UiLz4KCQk8bGluZSBmaWxsPSJub25lIiBzdHJva2U9IiMwMDAwMDAiIHN0cm9rZS1taXRlcmxpbWl0PSIxMCIgeDE9IjkuMjE4IiB5MT0iMTIuNDY3IiB4Mj0iMTQuNTI3IiB5Mj0iNy4xNTgiIHZlY3Rvci1lZmZlY3Q9Im5vbi1zY2FsaW5nLXN0cm9rZSIvPgoJPC9nPg0KPC9nPg0KPC9zdmc+DQo=']",FALSE,None,09-Sep-2024,11:59 PM,"McLean, VA",FALSE,None
['https://edstem.org/us/courses/40590/discussion/5158456\n'],['SF Fed - Hiring RAs for Summer 2025 #962'],['14-Aug-2024 20:54:37.485000Z'],['Anonymous'],"['The SF Fed Research Department has opened our job posting for Research Associates starting in the summer of 2025. The position is two-year, full-time, salaried, and offers full benefits; the job is ideal for students considering graduate studies. We have an excellent track record of placing RAs into top graduate schools. \nSF Fed - Research Associate 2025.pdf\nOur job posting with the application link is attached.  \nAndrew Foerster\nSenior Research Advisor\nEconomic Research\nFederal Reserve Bank of San Francisco\nandrew.foerster@sf.frb.org\n415-974-2360']",[None],FALSE,None,14-Aug-2024,08:54 PM,None,FALSE,None
['https://edstem.org/us/courses/40590/discussion/5158166\n'],['Social Sciences Career Readiness Internship Program (SSCRIP) #961'],['14-Aug-2024 16:09:46.014000Z'],['Michelle Fong'],"[""Hello everyone, \nWe received the following message from the Associate Dean for Diversity, Equity and Inclusion, and we really hope you can consider to apply. Please see attached for more information. \nMany thanks,\nEconomics Advising Team\n2024-2025 SSCRIP-Program Description New Deadlines.docx\nAs you may know, this year we are scaling up on our SSCRIP initiative and making it accessible to all units in the division. Unfortunately, despite our outreach to departments, as of today we have only received only two applications from Econ students. The deadline is August 19,2024 and we are hoping that the department could do a major push. This is an incredible opportunity, especially for our less privileged , and less well prepared undergraduates (paid summer internships either in the US or abroad!). I would hate for them to miss out on this opportunity. Attached is the announcement that we had sent out earlier to departments in the division. \nThank you in advance for your support. Khatharya\nKhatharya UM, PhD. (she/her) \nAssociate Dean for Diversity, Equity and Inclusion \nAssociate Professor \nAsian American and Asian Diaspora Studies\nAffiliate Faculty- Global Studies; Center for Southeast Asian Studies; Institute for International Studies; Institute European Studies\nRecipient of the  2023Fukuoka Academic Laureate Award and the \n2019-2020 Chancellor's Award for Advancing Institutional Excellence and Equity\nNew Books:  Générations Post-Réfugiées (2023); Globalization and Civil Society in East Asian Space (2023); Departures (2022)""]",[None],FALSE,Not Applicable,19-Aug-2024,Not Specified,Not Specified,FALSE,None
['https://edstem.org/us/courses/40590/discussion/5139158\n'],['Pre-doctoral role with Michael Greenstone; University of Chicago #945'],['02-Aug-2024 23:00:01.026000Z'],['Economics Staff'],"['New job opening working with Michael Greenstone, the Milton Friedman Distinguished Service Professor in Economics at the University of Chicago. Successful applicants will work on a team of “predocs” on the frontier of theoretical and empirical research in energy and environmental economics. \nThe research uses observational field data, experimental data, and field experiments. Recently, his research has helped lead to the United States Government quadrupling its estimate of the damages from climate change, the adoption of pollution markets in India, and the use of machine learning techniques to target environmental inspections. \nIn the past three years, previous research professionals on our team have gone on to pursue Economics PhDs at the following institutions: Berkeley (2), Duke Finance (1), MIT (1), UChicago (1), Yale (2). See Michael’s website for a list of past and present projects. Expected start date is July 15, 2025.Learn more and apply here. If you have any questions please email maskinner@uchicago.edu']",[None],FALSE,Not Applicable,02-Aug-2024,11:00 PM,University of Chicago,NOT MENTIONED,None
['https://edstem.org/us/courses/40590/discussion/5136767\n'],['Research Assistant opportunity at the Brookings Institution #943'],['01-Aug-2024 23:00:01.253000Z'],['Economics Staff'],"['The Economic Studies Program at the Brookings Institution is conducting our fall Research Assistant recruitment, for positions starting in summer 2025. We are recruiting for ten research assistants for one or two year appointments, preferably beginning between June 1 and August 1, 2025. This is an excellent opportunity for recent graduates!\n Read more here: https://www.brookings.edu/join-the-top-ranked-think-tank-for-domestic-economic-policy/\n\nApply here: https://careers-brookings.icims.com/jobs/3497/research-assistant-%28job-id%3a-2024-3497%29/job\n Applicants should have a Bachelor’s degree by summer 2025 in Economics, Mathematics/Statistics, Public Policy, or other Social Sciences with a minor in Economics and will need to submit a cover letter, resume, two letters of recommendation, and an unofficial transcript. The application deadline is October 12, 2024.']",[None],FALSE,None,01-Aug-2024,11:00 PM,None,FALSE,None
['https://edstem.org/us/courses/40590/discussion/4895520\n'],"['The economics of the UC’s investments, explained #718']",['02-May-2024 21:29:24.909000Z'],['Anonymous'],['https://ucinvestments.info/'],[None],FALSE,None,02-May-2024,09:29 PM,Not Specified,FALSE,None
['https://edstem.org/us/courses/40590/discussion/5274489\n'],"['Econ Weekly Announcements for Week 2 (Friday, September 13 2024) #1068']",['13-Sep-2024 23:00:04.143000Z'],['Peer Advisors'],"[""Please see below for announcements from our partners. If you are part of a registered student organization on campus, you are welcome to post your announcements directly to our Ed Discussion without waiting for our weekly announcement recap. This week’s announcements include:\n1. Upcoming Berkeley Career Engagement Happenings\n2. We're Hiring Research Assistants at the Chicago Fed!\n3. APASD Satellite Advising Begins on 9/17/24\n4. SPLASH! An Educational Opportunity\n5. Berkeley IEOR MS & PhD Information Session Registration\n6. Graduate Diversity Admissions Fair: Registration is open!\n7. Sexual Violence Prevention DeCal\n8. Berkeley International Office: Global Pen Pals Program\n1. Upcoming Berkeley Career Engagement Happenings\nThis month, we're excited to kick off our First Gen Professional Development Series which covers career planning, mental health, and the job/internship search for first generation college students! Sessions are held in September and October at Berkeley Career Engagement and the MLK Multicultural Center. \nLearn more and register\nEvent graphics\n[Drop in hours]\nStart Monday, Sept 9th, come to our drop in hours to meet with a peer advisor for 1:1 assistance on resume/cover letter feedback, navigating Handshake, job/internship search strategies and more. \n[Workshops & Events]\nApplying to Graduate School\nThursday, Sept 26 from 4-5pm I Virtual \nThinking about grad school but not sure where to start? Join our virtual workshop with Dr. Marissa Yáñez (UC Berkeley College of Chemistry) and Dr. Sarah Smaga (NSF Center) for insights on navigating the grad school application process. Learn how to choose the right programs, prepare your applications, secure recommendations, and find funding. \nLearn more and register | Event graphics\nWorking in the US for International Students I Thursday, Sept 12 from 12-1:30pm\nRCNR Resume Lab I Tuesday, Sept 17 from 10-11am \nLevel up Your LinkedIn Profile I Tuesday, Oct 1 from 12-1pm \nCheck out all events on Handshake! \n If you'd like a Handshake courtesy account to view these events in full, click here.\n2. We're Hiring Research Assistants at the Chicago Fed!\nThe Federal Reserve Bank of Chicago’s Research Assistant position application is NOW OPEN for those looking to start in the Summer of 2025. \nApply for the position HERE or click on the image above. \nFor more information on the position: What’s a Chicago Fed Research Assistant?\nFor more opportunities in the Federal Reserve System please visit: fedeconjobs.org\nIf you have any questions, don’t hesitate to reach out to us at RA.Recruiting@chi.frb.org\n3. APASD Satellite Advising Begins on 9/17/24\nAPASD Satellite Advising Services for Fall 2024 will resume on Tuesday, September 17th. We will be offering these virtual advising appointments on Tuesdays from 9am - 12pm, Thursdays from 9am - 12pm, and Thursdays from 1pm-4pm.\nPlease refer any students who are seeking academic support and identify as part of the Asian American, Pacific Islander, South Asian, Southwest Asian, and North African (AA/PI/SSWANA) communities. Book an appointment here!\n4. SPLASH! An Educational Opportunity\nSplash will be Saturday, November 16th and will be held in person on campus. Teacher registration is now open (link below), so sign up your classes now! Teacher registration closes on September 28th.\nhttps://berkeley.learningu.org/teach/Splash/2024_Fall/teacherreg\n\nSplash at Berkeley is an educational outreach program held once a semester, where high school students from the local area come to campus for a day of engaging classes taught by undergraduates, graduates, postdocs, and campus members on essentially any topic of the teacher's choosing. Class lengths are a minimum of 1 hour and a maximum of 3, and you can co-teach with friends. More details can be found at the following link.\nhttps://berkeley.learningu.org/teach/splash.html\n\nPlease encourage friends to sign up to teach for Splash! If you have any questions, email us at splash.berkeley@gmail.com.\n5. Berkeley IEOR MS & PhD Information Session Registration\nDate: Tuesday, October 1\nTime: 4:00 – 5:00 PM\nLocation: 1174 Etcheverry Hall\nEnjoy light refreshments and enter our raffle for a chance to win exclusive Berkeley IEOR swag!\nRegister Here\nCurious about solving the world’s toughest problems? Join us at 4:00 PM on Tuesday, October 1, to discover how MS and PhD students at Berkeley IEOR are transforming industries using advanced Operations Research, Optimization, AI, and more. From streamlining disrupted supply chains to creating algorithms that boost revenue, improve transportation, and tackle housing and food insecurity, Berkeley IEOR students drive real-world impact.\nBerkeley IEOR grads are in high demand, securing top roles in academia, tech, finance, healthcare, and more—with many earning impressive salaries. Hear directly from our students and faculty about what sets our Master’s and PhD programs apart, get insider tips on the application process, and explore the incredible career paths in IEOR.\nEnjoy refreshments, connect with peers, and enter to win awesome prizes! Register now and take the first step toward your future with Berkeley IEOR.\n6. Graduate Diversity Admissions Fair: Registration is open!\nThinking about pursuing a graduate degree? Join us for our virtual Graduate Diversity Admissions Fair October 7-11! Discover what UC Berkeley has to offer, including program details, application tips, and funding opportunities. \nYou can expect a lot to choose from. Over 50 different sessions from UC Berkeley departments and graduate programs in one hour information sessions.\nRegister now. After registering for the fair, you can start adding individual sessions to your personal agenda. Be sure to add the Economics PhD session on October 8th 2-3pm.\nRegister today (button link: https://bit.ly/div-adm-fair-reg24) \n7. Sexual Violence Prevention DeCal\nMy name is Liam Chavez and I am the staff co-chair of the Berkeley Public Health Sexual Violence and Sexual Harassment (SVSH) Prevention committee. We are excited to share an exciting opportunity for students to join our course PH 198 DeCal: Sexual Violence and Sexual Harassment: an Advocacy Perspective this fall.\nThis course is intended for all students who have an interest in public health, SVSH, advocacy, and equity. Through the lens of public health, the course aims to provide students with:\nA comprehensive understanding of the origins and background of current SVSH issue \nEducation and tools to center survivor healing and support\nAdvocacy strategies for strengthening health equity\nA holistic understanding of SVSH\nOur committee has collaboratively worked on strengthening this course and we are hoping to increase our enrollment this semester. Would you be willing to spread the word about our course by sending out information in your student newsletters? We would greatly appreciate any help that you can provide in getting the word out about this unique and rewarding opportunity for undergraduate students!\n8. Berkeley International Office: Global Pen Pals Program\nGlobal Pen Pals is a one-on-one pairing program that connects international and domestic students for cultural exchange and remote connections. It fosters global engagement, allowing students to learn about different cultures and make new friends.\n\nParticipants are expected to communicate with their pen pal at least once every two weeks, with conversations guided by themed discussions. While communication is primarily through email, physical letters are encouraged!""]",[None],,,,,,,
